Cliente:;NORMA:INDENTAÇÃO                                        ;DATA:02/05/2025;HORA:13:42:04;IDENTIFICAÇÃO:D28 BORDA 25/02                                   ;TRABALHO REALIZADO: INDENTAÇÃO;CÉLULA DE CARGA: 500 kgf;VELOCIDADE: 0,000 mm/min;TEMPERATURA: 25,00°C;UMIDADE RELATIVA: 50,00 %
OBSERVAÇÃO:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
ID DA AMOSTRA;ÁREA:380mm²;LARGURA:0,000mm;ESPESSURA:0,0000mm;DIÂMETRO EXTERNO:0,000mm;DIÂMETRO INTERNO:0,000mm;DIÂMETRO EXTERNO FINAL:0,00mm;DIÂMETRO INTERNO FINAL:0,00mm;COMPRIMENTO FINAL:0,00mm;ÁREA FINAL:0,00mm;PESO:100,0000g;COMPRIMENTO TOTAL:50,29mm;COMPRIMENTO DA AMOSTRA:0,000mm
TIPO COSTURA:
Deslocamento (mm);Carga (N);Tempo (s)
0,00;-6,13;2,0
-0,07;-11,03;2,1
-0,10;-14,71;2,1
-0,14;-18,39;2,1
-0,17;-23,29;2,1
-0,20;-26,97;2,2
-0,24;-31,87;2,2
-0,27;-36,77;2,2
-0,30;-40,45;2,2
-0,34;-44,13;2,2
-0,37;-40,45;2,3
-0,47;-45,36;2,3
-0,50;-50,26;2,3
-0,54;-55,16;2,4
-0,57;-60,07;2,4
-0,60;-64,97;2,4
-0,64;-68,65;2,4
-0,67;-73,55;2,5
-0,70;-77,23;2,5
-0,74;-80,90;2,5
-0,77;-85,81;2,5
-0,80;-89,49;2,5
-0,84;-93,16;2,5
-0,87;-96,84;2,6
-0,94;-102,97;2,6
-1,00;-109,10;2,6
-1,07;-114,00;2,7
-1,14;-118,91;2,7
-1,20;-123,81;2,8
-1,27;-127,49;2,8
-1,34;-131,16;2,8
-1,40;-134,84;2,9
-1,50;-138,52;3,0
-1,60;-142,20;3,0
-1,74;-144,65;3,1
-1,90;-145,87;3,2
-2,04;-148,33;3,3
-2,20;-150,78;3,4
-2,34;-153,23;3,5
-2,50;-154,45;3,5
-2,64;-156,91;3,6
-2,80;-158,13;3,7
-2,94;-159,36;3,8
-3,10;-160,58;3,9
-3,24;-161,81;4,0
-3,40;-163,04;4,1
-3,54;-163,04;4,2
-3,70;-164,26;4,3
-3,84;-164,26;4,3
-4,00;-165,49;4,5
-4,14;-165,49;4,5
-4,30;-166,71;4,6
-4,44;-166,71;4,7
-4,60;-167,94;4,8
-4,74;-167,94;4,9
-4,90;-169,16;5,0
-5,04;-169,16;5,1
-5,20;-170,39;5,2
-5,34;-170,39;5,2
-5,50;-170,39;5,3
-5,64;-170,39;5,4
-5,80;-171,62;5,5
-5,94;-171,62;5,6
-6,10;-172,84;5,7
-6,24;-172,84;5,8
-6,41;-172,84;5,9
-6,57;-174,07;6,0
-6,71;-174,07;6,1
-6,87;-174,07;6,2
-7,01;-175,29;6,2
-7,17;-175,29;6,3
-7,31;-175,29;6,4
-7,47;-175,29;6,5
-7,61;-176,52;6,6
-7,77;-176,52;6,7
-7,91;-176,52;6,8
-8,07;-176,52;6,9
-8,21;-176,52;7,0
-8,37;-176,52;7,1
-8,51;-177,75;7,2
-8,67;-177,75;7,2
-8,81;-177,75;7,3
-8,97;-177,75;7,4
-9,11;-178,97;7,5
-9,27;-178,97;7,6
-9,41;-178,97;7,7
-9,57;-178,97;7,8
-9,71;-180,20;7,9
-9,87;-180,20;8,0
-10,01;-180,20;8,0
-10,17;-181,42;8,2
-10,31;-181,42;8,2
-10,47;-182,65;8,3
-10,61;-182,65;8,4
-10,77;-183,87;8,5
-10,91;-183,87;8,6
-11,07;-183,87;8,7
-11,21;-185,10;8,8
-11,37;-186,33;8,9
-11,51;-186,33;9,0
-11,67;-187,55;9,0
-11,81;-187,55;9,1
-11,97;-188,78;9,2
-12,01;-185,10;0,1
-12,01;-181,42;0,2
-12,01;-177,75;0,3
-12,01;-174,07;0,6
-12,01;-170,39;1,1
-12,01;-166,71;1,8
-12,01;-163,04;3,2
-12,01;-159,36;6,2
-12,01;-155,68;14,0
-12,14;-160,58;30,1
-12,24;-165,49;30,2
-12,34;-170,39;30,2
-12,44;-174,07;30,3
-12,54;-177,75;30,3
-12,64;-181,42;30,4
-12,74;-185,10;30,5
-12,84;-188,78;30,5
-12,97;-192,46;30,6
-13,11;-196,13;30,7
-13,27;-199,81;30,8
-13,41;-202,26;30,9
-13,57;-204,71;31,0
-13,71;-205,94;31,0
-13,87;-208,39;31,1
-14,01;-209,62;31,2
-14,17;-210,84;31,3
-14,31;-212,07;31,4
-14,47;-213,29;31,5
-14,61;-213,29;31,6
-14,77;-214,52;31,7
-14,91;-214,52;31,8
-15,07;-215,75;31,9
-15,21;-215,75;31,9
-15,37;-216,97;32,0
-15,51;-216,97;32,1
-15,67;-218,20;32,2
-15,81;-218,20;32,3
-15,97;-219,42;32,4
-16,11;-219,42;32,5
-16,27;-220,65;32,6
-16,41;-220,65;32,7
-16,57;-221,88;32,8
-16,71;-221,88;32,9
-16,88;-223,10;32,9
-17,04;-223,10;33,0
-17,18;-224,33;33,1
-17,34;-224,33;33,2
-17,48;-225,55;33,3
-17,64;-225,55;33,4
-17,78;-226,78;33,5
-17,94;-226,78;33,6
-18,08;-228,00;33,7
-18,24;-228,00;33,8
-18,38;-228,00;33,9
-18,54;-229,23;33,9
-18,68;-230,46;34,0
-18,84;-230,46;34,1
-18,98;-231,68;34,2
-19,14;-231,68;34,3
-19,28;-232,91;34,4
-19,44;-232,91;34,5
-19,55;-229,23;0,1
-19,55;-225,55;0,2
-19,55;-221,88;0,3
-19,55;-218,20;0,6
-19,55;-214,52;0,9
-19,55;-210,84;1,4
-19,55;-207,17;2,2
-19,55;-203,49;3,3
-19,55;-199,81;5,4
-19,55;-196,13;8,8
-19,55;-192,46;15,1
-19,55;-188,78;27,3
-19,62;-192,46;30,1
-19,72;-197,36;30,1
-19,82;-201,04;30,2
-19,92;-204,71;30,2
-20,02;-208,39;30,3
-20,12;-212,07;30,4
-20,22;-215,75;30,4
-20,32;-219,42;30,5
-20,45;-223,10;30,6
-20,58;-226,78;30,6
-20,72;-230,46;30,7
-20,88;-234,13;30,8
-21,02;-236,59;30,9
-21,18;-240,26;31,0
-21,32;-241,49;31,1
-21,48;-243,94;31,2
-21,62;-245,17;31,3
-21,78;-247,62;31,4
-21,92;-248,84;31,4
-22,08;-250,07;31,6
-22,22;-251,30;31,6
-22,38;-251,30;31,7
-22,52;-252,52;31,8
-22,68;-253,75;31,9
-22,82;-253,75;32,0
-22,99;-254,97;32,1
-23,15;-256,20;32,2
-23,29;-257,42;32,3
-23,45;-258,65;32,4
-23,59;-258,65;32,4
-23,75;-259,88;32,6
-23,89;-261,10;32,6
-24,05;-262,33;32,7
-24,19;-263,55;32,8
-24,35;-264,78;32,9
-24,49;-266,01;33,0
-24,65;-267,23;33,1
-24,79;-268,46;33,2
-24,95;-270,91;33,3
-25,09;-272,13;33,4
-25,25;-273,36;33,4
-25,39;-274,59;33,5
-25,55;-277,04;33,6
-25,69;-279,49;33,7
-25,85;-280,72;33,8
