Cliente:;NORMA:INDENTAÇÃO                                        ;DATA:20/05/2025;HORA:11:01:13;IDENTIFICAÇÃO:D40 8/5                                           ;TRABALHO REALIZADO: INDENTAÇÃO;CÉLULA DE CARGA: 500 kgf;VELOCIDADE: 0,000 mm/min;TEMPERATURA: 25,00°C;UMIDADE RELATIVA: 50,00 %
OBSERVAÇÃO:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
ID DA AMOSTRA;ÁREA:380mm²;LARGURA:0,000mm;ESPESSURA:0,0000mm;DIÂMETRO EXTERNO:0,000mm;DIÂMETRO INTERNO:0,000mm;DIÂMETRO EXTERNO FINAL:0,00mm;DIÂMETRO INTERNO FINAL:0,00mm;COMPRIMENTO FINAL:0,00mm;ÁREA FINAL:0,00mm;PESO:100,0000g;COMPRIMENTO TOTAL:51,21mm;COMPRIMENTO DA AMOSTRA:0,000mm
TIPO COSTURA:
Deslocamento (mm);Carga (N);Tempo (s)
0,00;-6,13;2,0
-0,08;-9,81;2,1
-0,15;-15,94;2,1
-0,22;-22,06;2,2
-0,28;-28,19;2,2
-0,32;-31,87;2,2
-0,35;-35,55;2,2
-0,38;-39,23;2,3
-0,55;-42,90;2,4
-0,58;-46,58;2,4
-0,62;-51,48;2,4
-0,68;-57,61;2,5
-0,72;-61,29;2,5
-0,75;-64,97;2,5
-0,82;-71,10;2,5
-0,85;-74,78;2,6
-0,92;-79,68;2,6
-0,95;-83,36;2,6
-1,02;-89,49;2,7
-1,08;-94,39;2,7
-1,15;-99,29;2,7
-1,22;-104,20;2,8
-1,28;-107,87;2,8
-1,35;-111,55;2,9
-1,42;-115,23;2,9
-1,48;-118,91;2,9
-1,55;-122,58;3,0
-1,65;-126,26;3,0
-1,75;-129,94;3,1
-1,88;-133,62;3,2
-2,02;-137,29;3,2
-2,32;-138,52;3,4
-2,58;-142,20;3,6
-2,88;-144,65;3,8
-3,18;-145,87;4,0
-3,48;-148,33;4,1
-3,78;-149,55;4,3
-4,08;-152,00;4,5
-4,38;-152,00;4,7
-4,68;-153,23;4,9
-4,98;-154,45;5,0
-5,29;-154,45;5,2
-5,59;-155,68;5,4
-5,89;-156,91;5,6
-6,19;-156,91;5,7
-6,49;-156,91;5,9
-6,79;-158,13;6,1
-7,09;-158,13;6,3
-7,39;-159,36;6,5
-7,69;-159,36;6,7
-7,99;-160,58;6,8
-8,29;-161,81;7,0
-8,59;-163,04;7,2
-8,89;-164,26;7,4
-9,19;-165,49;7,6
-9,49;-165,49;7,7
-9,79;-166,71;7,9
-10,09;-167,94;8,1
