Cliente:;NORMA:INDENTAÇÃO                                        ;DATA:21/05/2025;HORA:14:20:49;IDENTIFICAÇÃO:D23 ESC MAR                                       ;TRABALHO REALIZADO: INDENTAÇÃO;CÉLULA DE CARGA: 500 kgf;VELOCIDADE: 0,000 mm/min;TEMPERATURA: 25,00°C;UMIDADE RELATIVA: 50,00 %
OBSERVAÇÃO:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
ID DA AMOSTRA;ÁREA:380mm²;LARGURA:0,000mm;ESPESSURA:0,0000mm;DIÂMETRO EXTERNO:0,000mm;DIÂMETRO INTERNO:0,000mm;DIÂMETRO EXTERNO FINAL:0,00mm;DIÂMETRO INTERNO FINAL:0,00mm;COMPRIMENTO FINAL:0,00mm;ÁREA FINAL:0,00mm;PESO:100,0000g;COMPRIMENTO TOTAL:50,4mm;COMPRIMENTO DA AMOSTRA:0,000mm
TIPO COSTURA:
Deslocamento (mm);Carga (N);Tempo (s)
0,00;-6,13;2,0
-0,09;-11,03;2,1
-0,16;-14,71;2,1
-0,23;-20,84;2,2
-0,29;-25,74;2,2
-0,33;-29,42;2,2
-0,39;-35,55;2,3
-0,46;-39,23;2,3
-0,59;-44,13;2,4
-0,66;-50,26;2,4
-0,69;-53,94;2,4
-0,76;-58,84;2,5
-0,83;-64,97;2,5
-0,89;-69,87;2,6
-0,96;-74,78;2,6
-1,03;-78,45;2,6
-1,09;-82,13;2,7
-1,16;-87,03;2,7
-1,26;-91,94;2,8
-1,36;-95,61;2,8
-1,46;-99,29;2,9
-1,56;-102,97;3,0
-1,73;-106,65;3,1
-1,93;-110,32;3,2
-2,23;-114,00;3,4
-2,53;-116,45;3,5
-2,83;-118,91;3,7
-3,13;-121,36;3,9
-3,43;-123,81;4,1
-3,73;-125,03;4,3
-4,03;-126,26;4,5
-4,33;-126,26;4,6
-4,63;-127,49;4,8
-4,93;-127,49;5,0
-5,23;-127,49;5,2
-5,53;-127,49;5,3
-5,83;-127,49;5,5
-6,13;-127,49;5,7
-6,43;-128,71;5,9
-6,73;-128,71;6,1
-7,03;-129,94;6,2
-7,33;-129,94;6,4
-7,63;-131,16;6,6
-7,93;-131,16;6,8
-8,23;-132,39;7,0
-8,53;-133,62;7,1
-8,83;-134,84;7,3
-9,13;-134,84;7,5
-9,43;-136,07;7,7
-9,73;-137,29;7,9
-10,03;-138,52;8,0
-10,33;-139,74;8,2
-10,63;-140,97;8,4
-10,93;-142,20;8,6
-11,23;-143,42;8,8
-11,34;-139,74;0,1
-11,34;-136,07;0,3
-11,34;-132,39;0,6
-11,34;-128,71;1,2
-11,34;-125,03;2,3
-11,34;-121,36;4,8
-11,34;-117,68;10,4
-11,34;-105,42;17,3
-11,34;-116,45;17,3
-11,50;-120,13;30,1
-11,60;-123,81;30,2
-11,73;-127,49;30,3
-11,86;-131,16;30,3
-12,00;-134,84;30,4
-12,16;-138,52;30,5
-12,33;-142,20;30,6
-12,53;-145,87;30,7
-12,73;-149,55;30,9
-13,00;-153,23;31,0
-13,30;-155,68;31,2
-13,60;-158,13;31,4
-13,90;-160,58;31,6
-14,20;-161,81;31,7
-14,50;-163,04;31,9
-14,80;-164,26;32,1
-15,10;-165,49;32,3
-15,40;-166,71;32,5
-15,70;-167,94;32,6
-16,00;-169,16;32,8
-16,30;-170,39;33,0
-16,60;-170,39;33,2
-16,90;-171,62;33,4
-17,20;-172,84;33,5
-17,50;-175,29;33,7
-17,80;-176,52;33,9
-18,10;-177,75;34,1
-18,40;-178,97;34,3
-18,70;-180,20;34,4
-18,90;-176,52;0,1
-18,90;-172,84;0,3
-18,90;-169,16;0,6
-18,90;-165,49;1,0
-18,90;-161,81;1,8
-18,90;-158,13;3,1
-18,90;-154,45;5,4
-18,90;-150,78;9,6
-18,90;-147,10;17,9
-19,08;-150,78;30,1
-19,18;-154,45;30,2
-19,32;-158,13;30,3
-19,42;-161,81;30,3
-19,58;-165,49;30,4
-19,72;-169,16;30,5
-19,88;-172,84;30,6
-20,05;-176,52;30,7
-20,22;-180,20;30,8
-20,45;-183,87;31,0
-20,65;-187,55;31,1
-20,92;-191,23;31,2
-21,22;-194,91;31,4
-21,52;-197,36;31,6
-21,82;-201,04;31,8
-22,12;-202,26;32,0
-22,42;-205,94;32,1
-22,72;-207,17;32,3
