Cliente:;NORMA:INDENTAÇÃO                                        ;DATA:29/05/2025;HORA:07:46:16;IDENTIFICAÇÃO:D33 27/5                                          ;TRABALHO REALIZADO: INDENTAÇÃO;CÉLULA DE CARGA: 500 kgf;VELOCIDADE: 0,000 mm/min;TEMPERATURA: 25,00°C;UMIDADE RELATIVA: 50,00 %
OBSERVAÇÃO:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
ID DA AMOSTRA;ÁREA:380mm²;LARGURA:0,000mm;ESPESSURA:0,0000mm;DIÂMETRO EXTERNO:0,000mm;DIÂMETRO INTERNO:0,000mm;DIÂMETRO EXTERNO FINAL:0,00mm;DIÂMETRO INTERNO FINAL:0,00mm;COMPRIMENTO FINAL:0,00mm;ÁREA FINAL:0,00mm;PESO:100,0000g;COMPRIMENTO TOTAL:53,18mm;COMPRIMENTO DA AMOSTRA:0,000mm
TIPO COSTURA:
Deslocamento (mm);Carga (N);Tempo (s)
0,00;-6,13;2,0
-0,06;-11,03;2,1
-0,12;-17,16;2,1
-0,15;-22,06;2,1
-0,19;-25,74;2,1
-0,22;-30,65;2,2
-0,25;-34,32;2,2
-0,29;-39,23;2,2
-0,32;-42,90;2,2
-0,49;-50,26;2,3
-0,52;-53,94;2,3
-0,55;-57,61;2,4
-0,59;-62,52;2,4
-0,62;-67,42;2,4
-0,65;-71,10;2,4
-0,69;-74,78;2,4
-0,72;-78,45;2,5
-0,75;-82,13;2,5
-0,79;-85,81;2,5
-0,82;-89,49;2,5
-0,85;-93,16;2,5
-0,89;-96,84;2,6
-0,95;-102,97;2,6
-1,02;-109,10;2,6
-1,09;-114,00;2,7
-1,15;-118,91;2,7
-1,22;-123,81;2,8
-1,29;-127,49;2,8
-1,35;-131,16;2,8
-1,42;-134,84;2,9
-1,52;-138,52;2,9
-1,62;-142,20;3,0
-1,92;-144,65;3,2
-2,09;-148,33;3,3
-2,39;-152,00;3,5
-2,69;-155,68;3,6
-2,99;-158,13;3,8
-3,29;-160,58;4,0
-3,59;-161,81;4,2
-3,89;-163,04;4,4
-4,19;-164,26;4,5
-4,49;-165,49;4,7
-4,79;-166,71;4,9
-5,09;-166,71;5,1
-5,39;-167,94;5,3
-5,69;-169,16;5,4
-5,99;-169,16;5,6
-6,29;-170,39;5,8
-6,59;-170,39;6,0
-6,89;-170,39;6,2
-7,19;-171,62;6,3
-7,49;-171,62;6,5
-7,79;-172,84;6,7
-8,09;-172,84;6,9
-8,39;-172,84;7,1
-8,69;-174,07;7,2
-8,99;-175,29;7,4
-9,29;-176,52;7,6
-9,59;-176,52;7,8
-9,89;-177,75;8,0
-10,19;-178,97;8,1
-10,49;-180,20;8,3
-10,79;-181,42;8,5
-11,09;-182,65;8,7
-11,39;-183,87;8,9
-11,69;-185,10;9,0
-11,99;-186,33;9,2
-12,29;-187,55;9,4
-12,59;-188,78;9,6
-12,73;-185,10;0,1
-12,73;-181,42;0,3
-12,73;-177,75;0,6
-12,73;-174,07;1,0
-12,73;-170,39;2,1
-12,73;-166,71;4,0
-12,73;-163,04;8,4
-12,73;-159,36;24,0
-12,84;-163,04;30,1
-12,94;-166,71;30,2
-13,04;-170,39;30,2
-13,14;-174,07;30,3
-13,27;-177,75;30,4
-13,40;-181,42;30,4
-13,54;-185,10;30,5
-13,70;-188,78;30,6
-13,87;-192,46;30,7
-14,07;-196,13;30,8
-14,30;-199,81;31,0
-14,57;-203,49;31,1
-14,87;-205,94;31,3
-15,17;-208,39;31,5
-15,47;-209,62;31,7
-15,77;-210,84;31,9
-16,07;-212,07;32,0
-16,37;-214,52;32,2
-16,67;-214,52;32,4
-16,97;-216,97;32,6
-17,27;-218,20;32,8
-17,57;-219,42;32,9
-17,87;-220,65;33,1
-18,17;-221,88;33,3
-18,47;-223,10;33,5
-18,77;-224,33;33,6
-19,07;-225,55;33,8
-19,37;-226,78;34,0
-19,67;-228,00;34,2
-19,97;-229,23;34,4
-20,27;-230,46;34,6
-20,57;-231,68;34,7
-20,71;-228,00;0,1
-20,71;-224,33;0,3
-20,71;-220,65;0,6
-20,71;-216,97;0,9
-20,71;-213,29;1,7
-20,71;-209,62;2,8
-20,71;-205,94;4,8
-20,71;-202,26;8,3
-20,71;-198,58;15,7
-20,89;-202,26;30,1
-21,02;-205,94;30,2
-21,12;-209,62;30,3
-21,25;-213,29;30,4
-21,39;-216,97;30,4
-21,56;-220,65;30,5
-21,69;-224,33;30,6
-21,86;-228,00;30,7
-22,02;-231,68;30,8
-22,22;-235,36;30,9
-22,42;-239,04;31,1
-22,69;-242,71;31,2
-22,99;-246,39;31,4
-23,29;-248,84;31,6
-23,59;-250,07;31,8
-23,89;-252,52;31,9
-24,19;-253,75;32,1
-24,49;-256,20;32,3
-24,79;-258,65;32,5
-25,09;-261,10;32,6
-25,39;-263,55;32,8
-25,69;-267,23;33,0
-25,99;-269,68;33,2
-26,26;-273,36;33,4
-26,56;-275,81;33,5
-26,79;-279,49;33,7
-27,09;-283,17;33,9
-27,39;-285,62;34,0
-27,62;-289,30;34,2
-27,89;-292,97;34,3
-28,19;-296,65;34,5
-28,46;-300,33;34,7
-28,72;-304,01;34,8
-28,99;-307,68;35,0
-29,22;-311,36;35,1
-29,46;-315,04;35,3
-29,69;-318,72;35,4
-29,93;-322,39;35,6
-30,16;-326,07;35,7
-30,36;-329,75;35,8
-30,56;-333,43;35,9
-30,76;-337,10;36,1
-30,96;-340,78;36,2
-31,13;-344,46;36,3
-31,33;-348,14;36,4
-31,46;-351,81;36,5
-31,63;-355,49;36,6
-31,83;-359,17;36,7
-31,96;-362,85;36,8
-32,13;-366,52;36,9
-32,26;-370,20;37,0
-32,43;-373,88;37,1
-32,56;-377,56;37,1
-32,69;-381,23;37,2
-32,83;-384,91;37,3
-32,96;-388,59;37,4
-33,09;-392,27;37,5
-33,23;-395,94;37,5
-33,33;-399,62;37,6
-33,46;-403,30;37,7
-33,56;-406,98;37,7
-33,69;-410,65;37,8
-33,79;-414,33;37,9
-33,89;-418,01;37,9
-34,00;-414,33;0,2
-34,00;-410,65;0,3
-34,00;-406,98;0,5
-34,00;-403,30;0,7
-34,00;-399,62;1,0
-34,00;-395,94;1,5
-34,00;-392,27;2,1
-34,00;-388,59;2,9
-34,00;-384,91;4,0
-34,00;-381,23;5,5
-34,00;-377,56;7,8
-34,00;-373,88;10,8
-34,00;-370,20;15,1
-34,00;-366,52;20,9
-33,96;-362,85;30,0
-33,90;-356,72;30,1
-33,83;-351,81;30,1
-33,76;-346,91;30,2
-33,70;-343,23;30,2
-33,63;-338,33;30,2
-33,56;-334,65;30,3
-33,50;-330,97;30,3
-33,43;-327,30;30,4
-33,33;-322,39;30,4
-33,23;-317,49;30,5
-33,13;-313,81;30,5
-33,06;-310,14;30,6
-32,96;-306,46;30,6
-32,90;-302,78;30,7
-32,80;-299,10;30,7
-32,70;-295,43;30,8
-32,60;-291,75;30,9
-32,50;-288,07;30,9
-32,40;-284,39;31,0
-32,26;-280,72;31,1
-32,16;-277,04;31,1
-32,03;-273,36;31,2
-31,90;-269,68;31,3
-31,80;-266,01;31,4
-31,66;-262,33;31,4
-31,50;-258,65;31,5
-31,36;-254,97;31,6
-31,23;-251,30;31,7
-31,06;-247,62;31,8
-30,93;-243,94;31,9
-30,76;-240,26;32,0
-30,60;-236,59;32,1
-30,43;-232,91;32,2
-30,23;-229,23;32,3
-30,06;-225,55;32,4
-29,86;-221,88;32,5
-29,66;-218,20;32,6
-29,43;-214,52;32,8
-29,20;-210,84;32,9
-28,96;-207,17;33,0
-28,73;-203,49;33,2
-28,46;-199,81;33,4
-28,20;-196,13;33,5
-27,93;-192,46;33,7
-27,63;-188,78;33,9
-27,33;-185,10;34,0
-27,03;-182,65;34,2
-26,76;-178,97;34,4
-26,46;-176,52;34,6
-26,23;-172,84;34,7
-25,93;-170,39;34,9
-25,63;-167,94;35,1
-25,36;-164,26;35,2
-25,06;-161,81;35,4
-24,76;-159,36;35,6
-24,46;-156,91;35,7
-24,16;-154,45;35,9
-23,86;-152,00;36,1
-23,56;-150,78;36,3
-23,26;-148,33;36,5
-22,96;-145,87;36,6
-22,66;-144,65;36,8
-22,36;-142,20;37,0
-22,06;-140,97;37,2
-21,76;-138,52;37,4
-21,46;-137,29;37,6
-21,16;-134,84;37,7
-20,86;-133,62;37,9
-20,56;-131,16;38,1
-20,26;-129,94;38,3
-19,96;-128,71;38,4
-19,66;-126,26;38,6
-19,36;-125,03;38,8
-19,06;-123,81;39,0
-18,76;-122,58;39,2
-18,46;-121,36;39,3
-18,16;-120,13;39,5
-17,86;-118,91;39,7
-17,56;-116,45;39,9
-17,26;-116,45;40,1
-16,96;-114,00;40,3
-16,66;-112,78;40,4
-16,36;-111,55;40,6
-16,06;-110,32;40,8
-15,76;-110,32;41,0
